symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
PS,2025-12-10 09:10:00,2025-12-10 09:25:00,short,0,615.0,0.0,0.0,106014.27,take_profit,True
LC,2025-12-10 13:40:00,2025-12-10 13:50:00,long,4,220.0,0.837,-956.36,105139.23,stop_loss,False
PS,2025-12-10 13:40:00,2025-12-10 13:45:00,long,0,270.0,0.0,-0.0,105139.23,stop_loss,True
LC,2025-12-11 09:10:00,2025-12-11 09:30:00,long,2,520.0,0.998,1921.22,104182.87,take_profit,False
LC,2025-12-12 09:10:00,2025-12-12 09:35:00,long,1,540.0,0.509,999.81,106104.09,take_profit,False
PS,2025-12-15 09:10:00,2025-12-15 09:55:00,long,1,1050.0,0.98,2020.62,107103.9,take_profit,False
PS,2025-12-16 09:10:00,2025-12-16 09:15:00,long,0,1365.0,0.0,-0.0,109124.52,stop_loss,True
LC,2025-12-16 13:40:00,2025-12-16 14:10:00,long,3,320.0,0.88,-1020.72,109124.52,stop_loss,False
PS,2025-12-16 13:40:00,2025-12-16 13:45:00,short,0,225.0,0.0,0.0,109124.52,take_profit,True
LC,2025-12-17 09:10:00,2025-12-17 09:30:00,long,1,720.0,0.666,1358.89,108103.8,take_profit,False
PS,2025-12-17 09:10:00,2025-12-17 09:45:00,long,0,1695.0,0.0,0.0,108103.8,take_profit,True
LC,2025-12-17 13:40:00,2025-12-17 14:15:00,short,1,640.0,0.585,-661.6,109462.69,stop_loss,False
LC,2025-12-18 09:10:00,2025-12-18 09:20:00,long,2,400.0,0.735,-842.94,108801.09,stop_loss,False
PS,2025-12-18 09:10:00,2025-12-18 09:15:00,long,1,630.0,0.579,1178.04,108801.09,take_profit,False
LC,2025-12-18 13:40:00,2025-12-18 14:55:00,short,0,1560.0,0.0,0.0,109136.19,forced_close,True
PS,2025-12-18 13:40:00,2025-12-18 14:55:00,short,0,1635.0,0.0,0.0,109136.19,forced_close,True
LC,2025-12-19 09:10:00,2025-12-19 09:15:00,long,2,380.0,0.696,-802.88,109136.19,stop_loss,False
PS,2025-12-19 09:10:00,2025-12-19 09:15:00,long,1,120.0,0.11,-155.8,109136.19,stop_loss,False
PS,2025-12-19 13:40:00,2025-12-19 13:45:00,long,1,600.0,0.555,-636.53,108177.51,stop_loss,False
LC,2025-12-19 13:40:00,2025-12-19 13:50:00,long,1,760.0,0.703,-782.39,108177.51,stop_loss,False
PS,2025-12-22 09:10:00,2025-12-22 09:35:00,long,2,480.0,0.899,1757.6,106758.59,take_profit,False
PS,2025-12-22 13:40:00,2025-12-22 14:15:00,short,1,1080.0,0.995,2079.39,108516.19,take_profit,False
LC,2025-12-23 09:10:00,2025-12-23 09:35:00,short,0,1400.0,0.0,-0.0,110595.58,stop_loss,True
PS,2025-12-23 13:40:00,2025-12-23 13:50:00,short,2,420.0,0.76,-910.96,110595.58,stop_loss,False
LC,2025-12-24 09:10:00,2025-12-24 09:50:00,long,1,1080.0,0.985,2075.39,109684.62,take_profit,False
PS,2025-12-24 09:10:00,2025-12-24 09:30:00,long,0,1755.0,0.0,-0.0,109684.62,stop_loss,True
PS,2025-12-24 13:40:00,2025-12-24 13:45:00,long,2,525.0,0.94,-1120.12,111760.01,stop_loss,False
LC,2025-12-25 13:40:00,2025-12-25 14:05:00,long,1,840.0,0.759,1595.51,110639.89,take_profit,False
PS,2025-12-25 13:40:00,2025-12-25 13:45:00,long,1,330.0,0.298,-365.95,110639.89,stop_loss,False
LC,2025-12-26 13:40:00,2025-12-26 13:45:00,long,3,120.0,0.322,462.39,111869.45,take_profit,False
PS,2025-12-26 13:40:00,2025-12-26 13:45:00,short,0,690.0,0.0,-0.0,111869.45,stop_loss,True
PS,2025-12-29 13:40:00,2025-12-29 14:00:00,short,1,1095.0,0.975,2110.04,112331.84,take_profit,False
PS,2025-12-30 09:10:00,2025-12-30 09:15:00,long,2,405.0,0.708,1461.66,114441.88,take_profit,False
LC,2025-12-30 13:40:00,2025-12-30 14:05:00,short,0,1400.0,0.0,-0.0,115903.54,stop_loss,True
PS,2025-12-31 13:40:00,2025-12-31 14:00:00,short,2,570.0,0.984,-1208.0,115903.54,stop_loss,False
LC,2025-12-31 13:40:00,2025-12-31 13:50:00,short,1,640.0,0.552,1196.05,115903.54,take_profit,False
LC,2026-01-05 09:10:00,2026-01-05 09:25:00,short,1,920.0,0.794,-944.75,115891.59,stop_loss,False
LC,2026-01-05 13:40:00,2026-01-05 13:45:00,short,2,420.0,0.731,-890.74,114946.84,stop_loss,False
PS,2026-01-05 13:40:00,2026-01-05 13:55:00,short,1,525.0,0.457,-559.9,114946.84,stop_loss,False
PS,2026-01-06 09:10:00,2026-01-06 09:15:00,short,2,345.0,0.608,-761.86,113496.2,stop_loss,False
PS,2026-01-07 09:10:00,2026-01-07 11:25:00,short,0,2475.0,0.0,-0.0,112734.34,forced_close,True
LC,2026-01-07 13:40:00,2026-01-07 13:55:00,short,1,1120.0,0.993,-1147.97,112734.34,stop_loss,False
PS,2026-01-07 13:40:00,2026-01-07 14:00:00,short,1,315.0,0.279,549.92,112734.34,take_profit,False
LC,2026-01-08 09:10:00,2026-01-08 09:15:00,long,1,600.0,0.535,1110.96,112136.29,take_profit,False
LC,2026-01-09 13:40:00,2026-01-09 14:00:00,short,0,1540.0,0.0,-0.0,113247.25,stop_loss,True
PS,2026-01-09 13:40:00,2026-01-09 14:05:00,short,2,540.0,0.954,2008.04,113247.25,take_profit,False
PS,2026-01-13 09:10:00,2026-01-13 09:15:00,short,1,870.0,0.755,-900.14,115255.29,stop_loss,False
LC,2026-01-13 13:40:00,2026-01-13 14:30:00,long,0,2720.0,0.0,-0.0,114355.15,stop_loss,True
LC,2026-01-14 09:10:00,2026-01-14 09:15:00,short,1,940.0,0.822,1786.39,114355.15,take_profit,False
